"id","nm_start","nm_end","fuel_tonnes","created_by","created_at"
1,1,125,2,guillermo.nasarre,2022-06-05 12:27:05.375
2,126,250,4,guillermo.nasarre,2022-06-05 12:27:05.375
3,251,500,6,guillermo.nasarre,2022-06-05 12:27:05.375
4,501,750,8,guillermo.nasarre,2022-06-05 12:27:05.375
5,751,1000,11,guillermo.nasarre,2022-06-05 12:27:05.375
6,1001,1500,15,guillermo.nasarre,2022-06-05 12:27:05.375
7,1501,2000,25,guillermo.nasarre,2022-06-05 12:27:05.375
8,2001,2500,33,guillermo.nasarre,2022-06-05 12:27:05.375
9,2501,3000,41,guillermo.nasarre,2022-06-05 12:27:05.375
10,3001,3500,50,guillermo.nasarre,2022-06-05 12:27:05.375
11,3501,4000,59,guillermo.nasarre,2022-06-05 12:27:05.375
12,4001,4500,76,guillermo.nasarre,2022-06-05 12:27:05.375
13,4501,5000,86,guillermo.nasarre,2022-06-05 12:27:05.375
14,5001,5500,100,guillermo.nasarre,2022-06-05 12:27:05.375
15,5501,6000,113,guillermo.nasarre,2022-06-05 12:27:05.375
16,6001,6500,121,guillermo.nasarre,2022-06-05 12:27:05.375
17,6501,7000,137,guillermo.nasarre,2022-06-05 12:27:05.375
18,7001,7500,151,guillermo.nasarre,2022-06-05 12:27:05.375
19,7501,8000,121,guillermo.nasarre,2022-06-05 12:27:05.375
20,8001,8500,106,guillermo.nasarre,2022-06-05 12:27:05.375
